,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo
26,Cameroon,CMR,1553739.0,432215691894.375,327837962781.03687,29126278722.64746,116819837432.28125,43351438067.97388,3722297159.1884766,12531895085696.0,5709727233027.25,667602308793.375
27,Canada,CAN,4827914.0,15781877104602.793,10398891533659.07,781980086659.7374,1869792313167.1025,2856153353904.309,98366753782.53271,726896067746714.2,39999090319753.58,27276708509559.05
28,Central African Republic,CAF,1188484.0,9624673523.898438,956546354.2597351,658761078.7867432,863357653.7020192,1315909.586549759,34325340.03692806,261780116425.84375,24461046204.65625,14460529737.035156
29,Chad,TCD,1197650.0,53041682802.6875,7833513548.90918,3578157155.6601562,8932374154.265625,1586878875.5145493,603962579.6416016,1932890124107.0,704656572219.25,101336555076.75
30,Chile,CHL,4811234.0,118941207914.91583,409560349462.888,6891521520.391204,71479980593.46642,212616135082.96597,4088937425.4545717,2841076381999.7676,1522718479865.0486,126510210321.87064
31,China,CHN,15512118.0,78634730717118.52,354639765337584.8,5023255100945.418,5944338260934.521,32825364575519.688,357867966126.1899,2994026907955688.0,5320068217943587.0,108101211122787.73
32,Colombia,COL,2885141.0,727086159319.8835,746477485876.3547,18445161875.75811,44466901318.3354,36345536117.69179,1174969519.5624487,18262741417403.42,4114174330306.797,480483575112.38184
33,Congo,COG,785879.0,68408129.30078125,2389707.107421875,5786930.80078125,632851918.0,153113071.0625,27324231.91796875,19259652944.0,4026134402.0,1880973434.125
34,Costa Rica,CRI,316060.0,233720867816.0,588738813904.0,7952192767.25,184867179319.0,471727421767.0,5850223976.269531,7750812738768.0,1503853987906.0,212812967833.75
35,Cote d'Ivoire,CIV,1032489.0,2080563098551.75,11222509840.6391,6538687791.060547,899453781422.8125,8157918981.0625,2664620580.5891113,16315460695603.0,8011455760814.0,564476576363.375
36,Croatia,HRV,309025.0,710352454032.5,2334244478440.5,57892254621.90625,325070189919.0,1133487537937.0,22868323653.9375,73452710563840.0,11823511366432.0,1836857604832.0
37,Cuba,CUB,563206.0,593014011547.0,4504672710772.875,61473555458.06055,69884780614.5,522562737746.0,7292595875.125,10757772320720.0,28610508553328.0,783033019224.0
38,Cyprus,CYP,98989.0,1167625679.203125,26311769411.5,176293366.88671875,1304070019.0078125,29119416402.375,194848111.63305664,3527329229.2890625,34203069956.6875,596599543.6757812
39,Czech Republic,CZE,71547.0,522015719424.0,2898788745216.0,8871287424.0,139782230016.0,860789538816.0,2537906496.0,32811212341248.0,3795454099456.0,1064115486720.0
40,Democratic Republic of the Congo,COD,5175805.0,8128263932.185547,205349229.6917836,335082612.31689453,23964033060.88086,902328601.4762452,941089218.9347534,1380275969398.25,353646363846.8904,91119993830.77344
41,Denmark,DNK,182518.0,381167659500.0,2728825387224.7266,3559349423.015625,121896404177.0,794444136293.2266,1217543556.71875,86310207213568.0,3686876190208.0,2518008172672.0
42,Djibouti,DJI,28304.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43,Dominican Republic,DOM,230309.0,338189696093.375,591183037066.75,18787278865.5625,131994113408.0,218239590304.0,6785773494.0,4722974826496.0,3836448710656.0,217937114304.0
44,Ecuador,ECU,1019440.0,310839898585.1637,148040123485.0,5044866090.749207,72249272608.46307,24407799318.34375,1069376224.3231049,7733408224374.0,1492116167588.0,217503135784.75
45,Egypt,EGY,692350.0,4257348120451.0,35031223531139.0,406446249724.375,146808781758.22656,1195013947757.475,13408311771.923828,241534631123296.0,95883264272978.61,8450319547099.094
46,El Salvador,SLV,27451.0,13660260352.0,15515853824.0,1386477056.0,4775914496.0,5280091136.0,480473088.0,623373975552.0,90124533760.0,25600104448.0
47,Equatorial Guinea,GNQ,94170.0,0.0,0.0,0.0,50103285.28125,144314899.6875,2284094.9482421875,709505045.125,2176439195.0,32131989.2265625
48,Eritrea,ERI,239205.0,2054464569.0,308948286.63183594,119889096.15234375,824872592.5696106,133478042.90776873,52631019.07209873,192189371319.0,3426364735.5625,3599685171.875
49,Estonia,EST,67469.0,7979265665.0,43470421696.25,103924096.703125,12318593937.25,49002024552.96094,129040073.60888672,1610810369808.0,119145089241.75,51404941946.5
50,Ethiopia,ETH,3115310.0,112743309557.6278,18248680188.959595,17281178071.112106,2896499484.435601,211101609.40878177,438197059.5117798,14214264556658.195,3799569426441.778,731825249049.716
51,Finland,FIN,469781.0,25847454145.39673,571740377350.0623,709317510.0433044,64775775299.5,1058312628222.7571,1374271857.2017212,19043432859648.0,2097758050550.0,522973452564.0
52,France,FRA,1325590.0,9680593818777.5,41788779703747.94,453011294556.4219,2129293926844.0,7133351616938.0,85796944009.6875,625285988756736.0,97372398964256.0,19807788719232.0
53,French Guiana,GUF,61096.0,0.0,0.0,0.0,2786417.53125,6507587.15625,321366.24609375,856995632.0,207364252.0,42288425.0
54,Gabon,GAB,681181.0,3467477.8125,1394306.375,137058.11328125,1217935548.84375,434480710.0,33963830.583984375,32508530522.0,41539747511.0,2345258591.0
55,Gambia,GMB,110102.0,237254948608.0,13611960940.234375,20356441440.0,8851776104.0,410543745.6328125,708922872.0,6873391730688.0,66796661504.0,511724480000.0
