,name,iso3,GRIDCODE,X1_en,X1_va,X1_fo,X2_en,X2_va,X2_fo,X2+Y_en,X2+Y_va,X2+Y_fo,Z_en,Z_va,Z_fo
73,Isle of Man,IMN,12776.0,390178592.0,848466112.0,4538160.0,48876684.0,127002864.0,591504.125,33861187584.0,1243439872.0,980257280.0,99667304448.0,24321558528.0,16979693568.0
74,Israel,ISR,126215.0,391349253194.0,2786666758576.0,27540912440.0,17727128273.0,122304018071.5,1193817486.1191406,3618095734656.0,5384600068224.0,313126221284.0,20539876769792.0,5093569507328.0,3421065906176.0
75,Italy,ITA,1112679.0,3310218779380.092,20325101151032.527,248136377798.40015,1964718707279.75,11771654139208.75,138930244400.3125,174047958020952.0,105797509937460.0,5451778475427.0,56992941489280.0,13882548960768.0,9778271806496.0
76,Jamaica,JAM,103012.0,16052477664.0,90517477440.0,765125398.0,32734367104.0,188226172416.0,1562691320.0,215538506752.0,742232231936.0,20074038336.0,2062689140472.0,506317842146.0,345653615832.0
77,Japan,JPN,1574401.0,299525985698.1875,5074147660195.0,23597927802.73828,539525867037.125,9136738557228.25,41544158505.359375,33975356416474.0,50233322060233.0,1574497946820.0,102869539060224.0,25061132660384.0,17670774557696.0
78,Jordan,JOR,106208.0,53208209829.46875,352239648960.8125,5049689842.580078,148487577.75,676665478.6523438,8545301.444091797,1748461486355.9653,757086543668.9019,82913727921.8096,3229299367936.0,804907508736.0,531694235648.0
79,Kazakhstan,KAZ,2811822.0,481916362398.24536,2478811996571.4233,23579948632.47374,6573999145.325073,47572051300.15053,312410037.20581436,62227299197366.61,3302739903097.1035,1910733289797.0247,19553376911296.0,4790810037760.0,3271896399048.0
80,Kenya,KEN,1818332.0,322979905231.03125,393992740209.60693,51945826993.875,28458520304.382812,16074008747.995361,4656424024.07666,23332565312632.0,57986945980384.0,1719538146742.0,68024409248576.0,17247929103728.0,11238087724544.0
81,"Korea, Democratic People's Republic of",PRK,257746.0,422677157304.0,1053601545344.0,35715301683.5,429738855168.0,1336083456000.0,36276169696.0,21278976139264.0,17217803018240.0,1073853266432.0,28126134508416.0,6831751679552.0,4740533118784.0
82,"Korea, Republic of",KOR,294426.0,280782047509.75,2491156609249.0,18612693040.4375,440015134816.0,3800540235872.0,29114127846.0,21616696858112.0,20962455525120.0,1101851544032.0,26991123011072.0,6521305056128.0,4558067043712.0
83,Kuwait,KWT,22189.0,211406032.0,1203855488.0,35922664.0,3.640923326719836e-11,2.1274365602508283e-10,6.2101530515223935e-12,2285711360.0,9393512448.0,372328960.0,161158725632.0,38971486208.0,26091909120.0
84,Kyrgyzstan,KGZ,410130.0,241699190807.0,1422336094961.4531,9893864160.3125,3619097598.2753906,18730371747.18396,136296831.2355957,11830870787808.0,2095868121253.0,483519326833.5,10691154446336.0,2637167406592.0,1774814115072.0
85,Lao People's Democratic Republic,LAO,914285.0,1734285111364.474,1579846055027.0408,52324908776.13606,417119677255.75,328131397922.21875,15330198731.8125,69668498151936.0,13720340397608.0,1415986036200.0,17551702974464.0,4317518694400.0,2932427166720.0
86,Latvia,LVA,153518.0,15847913848.15625,337904613391.75,1121900786.524414,31032458900.0,563242476928.0,1207772276.0,3558624894976.0,1115725509888.0,153897050592.0,1458804408320.0,354576395264.0,251087790080.0
87,Lebanon,LBN,60410.0,342380191744.0,1457537372160.0,16755124096.0,3882958787.1875,18441353054.25,188533049.23046875,9335221272576.0,2693348032512.0,448036775936.0,11376645373952.0,2810345848832.0,1887268110336.0
88,Lesotho,LSO,387441.0,83916988640.0,120316101680.0,8379998706.0,1811931880.0,2461295002.625,191151784.0,5083737763840.0,607884677120.0,141950901376.0,4135630569472.0,1034453856256.0,691380707328.0
89,Liberia,LBR,480459.0,287578948704.0,22092030537.65625,1355612780.4375,250278954944.0,3691234509.0,891037139.5,6550115082240.0,1752965818880.0,139596136064.0,9695565421056.0,2448219996416.0,1599137160448.0
90,Libyan Arab Jamahiriya,LBY,437733.0,423295870170.25,3401409422689.0,24211443651.179688,147020099.96094018,1243117393.906272,8131990.0571290655,5393266881472.0,3256001166652.0,443849505191.0,2715082592256.0,669928334496.0,450214914192.0
91,Lithuania,LTU,225441.0,197317715840.0,2982614029312.0,8410222020.0,210088792320.0,2898690473984.0,6384539592.0,31228091367424.0,6585939197952.0,1288837520384.0,3711982428160.0,901229678592.0,635448548352.0
92,Madagascar,MDG,2595845.0,66618176881.204956,73729655101.79745,3411728698.328266,27738068371.36737,31963960612.99391,1375132557.819664,5397127106308.0,5177682751904.75,201612912891.75,27303262141696.0,6910981157184.0,4498469083424.0
93,Malawi,MWI,365019.0,99692741776.0,66253489536.0,9606783141.0,22251095654.0,18538824483.5,2899911449.875,6447910170624.0,3660006699008.0,371477129472.0,12053533523968.0,3071307096064.0,1986667184128.0
