,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
238,100.0,78.88,50.32,65.07,84.05,86.16,96.86,97.38,86.35,58.5,39.5
239,100.0,55.5,22.59,39.32,63.47,63.37,65.5,66.05,63.37,58.5,40.5
240,100.0,97.75,93.96,94.1,94.28,94.2,94.34,94.36,94.2,58.5,41.5
241,0.0,100.0,99.95,99.95,99.86,99.88,99.88,99.88,99.88,58.5,42.5
242,0.0,100.0,99.46,99.46,99.48,99.46,99.46,99.46,99.46,58.5,43.5
243,100.0,99.67,96.77,96.77,96.27,96.18,96.18,96.18,96.18,58.5,44.5
244,100.0,92.99,84.67,84.73,85.36,85.55,85.54,85.54,85.54,58.5,45.5
245,0.0,100.0,99.37,99.49,99.7,99.69,99.69,99.69,99.69,58.5,46.5
246,100.0,97.8,64.37,67.91,93.39,93.84,95.17,95.28,93.87,58.5,47.5
247,96.37,63.8,34.31,36.76,66.41,66.59,74.24,75.27,67.13,58.5,48.5
248,100.0,95.82,61.2,67.16,92.44,94.31,96.83,97.06,94.5,58.5,49.5
249,100.0,97.05,61.43,66.2,91.96,96.78,98.7,99.05,96.89,58.5,50.5
250,0.0,65.06,35.43,38.57,72.08,71.66,82.06,82.36,71.75,58.5,51.5
251,36.68,8.26,0.2,0.2,23.46,29.23,37.98,38.03,29.63,58.5,52.5
252,0.0,87.72,66.34,68.26,70.51,92.57,93.64,93.65,92.58,58.5,53.5
253,100.0,99.4,89.92,90.58,84.41,93.79,95.4,95.54,93.88,58.5,54.5
254,100.0,87.2,76.77,77.56,87.54,88.14,93.79,94.27,88.28,58.5,55.5
255,0.0,89.42,91.53,92.05,89.9,91.69,91.88,91.88,91.69,58.5,56.5
256,0.0,99.87,97.32,97.32,98.98,99.68,99.97,99.97,99.7,58.5,57.5
257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,58.5
258,0.0,100.0,100.0,100.0,99.85,99.82,99.82,99.82,99.82,58.5,59.5
259,0.0,100.0,98.86,99.04,97.01,96.93,97.38,97.38,96.91,58.5,60.5
260,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,61.5
261,100.0,100.0,90.48,92.34,93.93,93.95,94.0,94.0,93.95,58.5,62.5
262,100.0,95.93,76.1,78.09,82.25,82.24,82.24,82.24,82.24,58.5,63.5
263,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,64.5
